Mushroom ID,Cap Shape,Cap Color,Gill Size,Stalk Shape,Habitat,Edibility,Market Demand,Spore Print Color,Population,Odor,Bruising,Ring Type,Stalk Surface Above Ring,Stalk Surface Below Ring,Stalk Color Above Ring,Stalk Color Below Ring,Veil Type,Veil Color,Growth Rate,Inspection Date,Incubation date,Temperature,Measurement
1,sunken,brown,narrow,tapering,leaves,edible,1,orange,abundant,musty,Yes,pendant,scaly,silky,white,brown,universal,orange,0.9730964627139668,3/7/2021,3/2/2021,49,C
?,convex,brown,narrow,tapering,urban,edible,2,brown,several,foul,Yes,none,silky,scaly,pink,white,universal,white,?,3/5/2023,3/4/2023,13,F
3,flat,brown,broad,enlarging,grasses,edible,8,yellow,scattered,musty,?,none,silky,?,gray,orange,partial,orange,1.9776191125191191,1/8/2022,1/4/2022,10,C
4,sunken,gray,narrow,tapering,?,poisonous,4,orange,scattered,creosote,Yes,evanescent,smooth,scaly,gray,orange,universal,yellow,2.2727627620673605,2/10/2023,2/2/2023,22,C
5,flat,red,?,enlarging,urban,edible,7,brown,several,almond,?,none,fibrous,fibrous,orange,white,partial,white,0.7188737847331463,1/9/2023,1/4/2023,9,C
6,bell,?,narrow,tapering,grasses,poisonous,6,yellow,several,anise,No,pendant,fibrous,?,orange,white,universal,orange,14.0241559285920365,4/11/2023,4/5/2023,21,C
7,flat,brown,broad,tapering,woods,?,5,yellow,scattered,foul,Yes,flaring,fibrous,scaly,white,white,universal,white,4.3203487619122125,2/8/2023,2/4/2023,13,C
8,sunken,red,narrow,enlarging,urban,?,3,yellow,several,?,No,pendant,scaly,?,gray,orange,partial,yellow,1.4505965176516598,2/7/2023,2/5/2023,2,C
9,?,yellow,narrow,?,grasses,edible,7,yellow,solitary,almond,Yes,evanescent,smooth,fibrous,brown,gray,?,orange,3.545415335788391,1/7/2023,1/1/2023,8,C
10,bell,?,broad,tapering,paths,poisonous,3,white,?,musty,Yes,pendant,?,scaly,white,white,universal,yellow,3.8667572545596522,4/5/2023,4/1/2023,10,C
11,sunken,white,broad,?,urban,?,?,black,numerous,creosote,Yes,none,scaly,fibrous,gray,pink,universal,brown,9.468676774469914,3/12/2023,3/5/2023,26,C
12,?,brown,broad,enlarging,leaves,?,2,brown,scattered,musty,?,flaring,fibrous,scaly,gray,?,partial,yellow,3.544817567523168,5/6/2023,5/1/2023,6,C
